2017-03-30 19:20:07,095 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: neu.edu:coe:1.0.0-BUILD-SNAPSHOT @ /Users/Cyan/github/Java_ShoppingWithoutVision/Code/6210FinalProject/pom.xml.
2017-03-30 19:23:29,738 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-30 19:23:29,739 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-30 19:23:41,185 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-30 19:23:41,188 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-03-30 19:23:41,191 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-30 19:23:41,193 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-30 19:23:52,110 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-30 19:23:52,111 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-03-30 19:23:52,114 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-30 19:23:52,114 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-30 19:24:16,617 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-30 19:24:16,620 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-03-30 19:24:16,622 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-30 19:24:16,623 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-30 19:24:28,810 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-30 19:24:28,813 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-03-30 19:24:28,815 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-30 19:24:28,817 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-30 19:26:13,251 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-30 19:26:13,255 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-03-30 19:26:13,265 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-30 19:26:13,267 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-03-30 19:27:54,977 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-30 19:27:54,981 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-30 19:27:54,984 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-30 19:27:54,984 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-30 19:27:57,577 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
